epoch,lr,loss,iou,val_loss,val_iou,val_dice
0,"[9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 0.009999845942435725, 0.009999845942435725, 0.009999845942435725, 0.009999845942435725, 0.009999845942435725, 0.009999845942435725, 0.009999845942435725, 0.009999845942435725, 0.009999845942435725, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 0.009999845942435725, 0.009999845942435725, 0.009999845942435725, 0.009999845942435725, 0.009999845942435725, 0.009999845942435725, 0.009999845942435725, 0.009999845942435725, 0.009999845942435725, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 0.009999845942435725, 0.009999845942435725, 0.009999845942435725, 0.009999845942435725, 0.009999845942435725, 0.009999845942435725, 0.009999845942435725, 0.009999845942435725, 0.009999845942435725, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 0.009999845942435725, 0.009999845942435725, 0.009999845942435725, 0.009999845942435725, 0.009999845942435725, 0.009999845942435725, 0.009999845942435725, 0.009999845942435725, 0.009999845942435725, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05, 9.999861209401554e-05]",1.0581447939726898,0.25545675649293487,0.9231731590829365,0.3848613111215032,0.5398997413133613
1,"[9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 0.009999383779245894, 0.009999383779245894, 0.009999383779245894, 0.009999383779245894, 0.009999383779245894, 0.009999383779245894, 0.009999383779245894, 0.009999383779245894, 0.009999383779245894, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 0.009999383779245894, 0.009999383779245894, 0.009999383779245894, 0.009999383779245894, 0.009999383779245894, 0.009999383779245894, 0.009999383779245894, 0.009999383779245894, 0.009999383779245894, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 0.009999383779245894, 0.009999383779245894, 0.009999383779245894, 0.009999383779245894, 0.009999383779245894, 0.009999383779245894, 0.009999383779245894, 0.009999383779245894, 0.009999383779245894, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 0.009999383779245894, 0.009999383779245894, 0.009999383779245894, 0.009999383779245894, 0.009999383779245894, 0.009999383779245894, 0.009999383779245894, 0.009999383779245894, 0.009999383779245894, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05, 9.999444846167473e-05]",0.6656675207577819,0.5127728881658329,0.4745960881055328,0.5214219625569985,0.6721478922687215
2,"[9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 0.009998613538938913, 0.009998613538938913, 0.009998613538938913, 0.009998613538938913, 0.009998613538938913, 0.009998613538938913, 0.009998613538938913, 0.009998613538938913, 0.009998613538938913, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 0.009998613538938913, 0.009998613538938913, 0.009998613538938913, 0.009998613538938913, 0.009998613538938913, 0.009998613538938913, 0.009998613538938913, 0.009998613538938913, 0.009998613538938913, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 0.009998613538938913, 0.009998613538938913, 0.009998613538938913, 0.009998613538938913, 0.009998613538938913, 0.009998613538938913, 0.009998613538938913, 0.009998613538938913, 0.009998613538938913, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 0.009998613538938913, 0.009998613538938913, 0.009998613538938913, 0.009998613538938913, 0.009998613538938913, 0.009998613538938913, 0.009998613538938913, 0.009998613538938913, 0.009998613538938913, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05, 9.998750935981003e-05]",0.33396382655749485,0.609634220894325,0.28619481592289525,0.629296527088531,0.762262203423397
3,"[9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 0.009997535269026829, 0.009997535269026829, 0.009997535269026829, 0.009997535269026829, 0.009997535269026829, 0.009997535269026829, 0.009997535269026829, 0.009997535269026829, 0.009997535269026829, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 0.009997535269026829, 0.009997535269026829, 0.009997535269026829, 0.009997535269026829, 0.009997535269026829, 0.009997535269026829, 0.009997535269026829, 0.009997535269026829, 0.009997535269026829, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 0.009997535269026829, 0.009997535269026829, 0.009997535269026829, 0.009997535269026829, 0.009997535269026829, 0.009997535269026829, 0.009997535269026829, 0.009997535269026829, 0.009997535269026829, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 0.009997535269026829, 0.009997535269026829, 0.009997535269026829, 0.009997535269026829, 0.009997535269026829, 0.009997535269026829, 0.009997535269026829, 0.009997535269026829, 0.009997535269026829, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05, 9.997779521645793e-05]",0.2652848738541623,0.6346631547828007,0.25752586995690596,0.6432012830737107,0.7722065829240915
4,"[9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 0.00999614903602241, 0.00999614903602241, 0.00999614903602241, 0.00999614903602241, 0.00999614903602241, 0.00999614903602241, 0.00999614903602241, 0.00999614903602241, 0.00999614903602241, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 0.00999614903602241, 0.00999614903602241, 0.00999614903602241, 0.00999614903602241, 0.00999614903602241, 0.00999614903602241, 0.00999614903602241, 0.00999614903602241, 0.00999614903602241, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 0.00999614903602241, 0.00999614903602241, 0.00999614903602241, 0.00999614903602241, 0.00999614903602241, 0.00999614903602241, 0.00999614903602241, 0.00999614903602241, 0.00999614903602241, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 0.00999614903602241, 0.00999614903602241, 0.00999614903602241, 0.00999614903602241, 0.00999614903602241, 0.00999614903602241, 0.00999614903602241, 0.00999614903602241, 0.00999614903602241, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05, 9.996530663083254e-05]",0.2428375316437135,0.6500271071756831,0.2676452845180591,0.6191733208888173,0.7557615318263322
5,"[9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 0.00999445492543504, 0.00999445492543504, 0.00999445492543504, 0.00999445492543504, 0.00999445492543504, 0.00999445492543504, 0.00999445492543504, 0.00999445492543504, 0.00999445492543504, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 0.00999445492543504, 0.00999445492543504, 0.00999445492543504, 0.00999445492543504, 0.00999445492543504, 0.00999445492543504, 0.00999445492543504, 0.00999445492543504, 0.00999445492543504, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 0.00999445492543504, 0.00999445492543504, 0.00999445492543504, 0.00999445492543504, 0.00999445492543504, 0.00999445492543504, 0.00999445492543504, 0.00999445492543504, 0.00999445492543504, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 0.00999445492543504, 0.00999445492543504, 0.00999445492543504, 0.00999445492543504, 0.00999445492543504, 0.00999445492543504, 0.00999445492543504, 0.00999445492543504, 0.00999445492543504, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05, 9.995004437328866e-05]",0.23001775055150409,0.6624534912631616,0.24782326890088116,0.644520780602334,0.7742699938099384
